2015-11-04 15:50:42,992 [localhost-startStop-1] INFO  context.ContextLoader  - Root WebApplicationContext: initialization started
2015-11-04 15:50:46,039 [localhost-startStop-1] INFO  message.RegexPropertyMessageResources  - Add properties file: [URL [jar:file:/Users/czp/.m2/repository/cemobile/CEF-DICT/1.1.1/CEF-DICT-1.1.1.jar!/validation/Dict_Message_zh_CN.properties]]
2015-11-04 15:50:46,039 [localhost-startStop-1] INFO  message.RegexPropertyMessageResources  - Add properties file: [URL [jar:file:/Users/czp/.m2/repository/cemobile/CEF-ORG/1.1.0/CEF-ORG-1.1.0.jar!/validation/Org_Message_zh_CN.properties]]
2015-11-04 15:50:46,039 [localhost-startStop-1] INFO  message.RegexPropertyMessageResources  - Add properties file: [URL [jar:file:/Users/czp/.m2/repository/cemobile/CEF-UPLOAD/1.1.0/CEF-UPLOAD-1.1.0.jar!/validation/Base_Message_zh_CN.properties]]
2015-11-04 15:50:46,039 [localhost-startStop-1] INFO  message.RegexPropertyMessageResources  - Add properties file: [URL [jar:file:/Users/czp/.m2/repository/cemobile/CEF-LOG/1.1.0/CEF-LOG-1.1.0.jar!/validation/Log_Message_zh_CN.properties]]
2015-11-04 15:50:46,039 [localhost-startStop-1] INFO  message.RegexPropertyMessageResources  - Add properties file: [URL [jar:file:/Users/czp/.m2/repository/cemobile/CEF-FORM/1.1.1/CEF-FORM-1.1.1.jar!/validation/Form_Message_zh_CN.properties]]
2015-11-04 15:50:46,040 [localhost-startStop-1] INFO  message.RegexPropertyMessageResources  - Add properties file: [URL [jar:file:/Users/czp/.m2/repository/cemobile/CEF-GRID/1.1.1/CEF-GRID-1.1.1.jar!/validation/Grid_Message_zh_CN.properties]]
2015-11-04 15:50:46,040 [localhost-startStop-1] INFO  message.RegexPropertyMessageResources  - Add properties file: [URL [jar:file:/Users/czp/.m2/repository/cemobile/CEF-WORKFLOW/1.1.0/CEF-WORKFLOW-1.1.0.jar!/validation/Workflow_Message_zh_CN.properties]]
2015-11-04 15:50:46,207 [localhost-startStop-1] INFO  support.DefaultListableBeanFactory  - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@2a2abe0b: defining beans [mvcContentNegotiationManager,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,customObjectMapper,org.springframework.aop.config.internalAutoProxyCreator,demoServiceImpl,demoController,sqlMapper,ajaxDataComponent,springSecurityUtil,authorityService,autoNumberService,loginRecodeService,menuService,roleService,tsysAuthorityService,tsysMenuService,tsysResourcesService,tsysRoleAuthorityService,tsysRoleService,tsysUserRoleService,userService,adminController,authorityController,jcaptchaController,menuController,roleController,userController,myAccessDecisionManager,myAccessDeniedHandler,myAuthenticationFailureHandler,myAuthenticationSuccessHandler,mySecurityMetadataSource,myUserDetailService,dictCacheManager,dictCacheUtil,dictService,dictController,orgService,orgController,notifyService,notifyController,fileServiceImpl,cropController,downLoadController,fileController,fileListController,fileManageController,uploadController,loggerAspect,logModuleCodeService,logSysService,logUserService,logController,sqlExecutionManager,formCache,formInfoService,formSqlService,formWidgetService,formController,gridSqlExecutionManager,paginationUtil,gridCacheService,gridService,gridController,workflowService,workflowController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0,org.springframework.web.servlet.handler.SimpleUrlHandlerMapping#0,org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0,org.springframework.web.servlet.handler.SimpleUrlHandlerMapping#1,org.springframework.web.servlet.resource.ResourceHttpRequestHandler#1,org.springframework.web.servlet.handler.SimpleUrlHandlerMapping#2,conversionService,validator,org.springframework.security.filterChains,org.springframework.security.filterChainProxy,org.springframework.security.web.DefaultSecurityFilterChain#0,org.springframework.security.web.DefaultSecurityFilterChain#1,org.springframework.security.web.DefaultSecurityFilterChain#2,org.springframework.security.web.DefaultSecurityFilterChain#3,org.springframework.security.web.DefaultSecurityFilterChain#4,org.springframework.security.web.DefaultSecurityFilterChain#5,org.springframework.security.web.DefaultSecurityFilterChain#6,sessionRegistry,org.springframework.security.web.PortMapperImpl#0,org.springframework.security.web.PortResolverImpl#0,org.springframework.security.config.authentication.AuthenticationManagerFactoryBean#0,org.springframework.security.authentication.ProviderManager#0,org.springframework.security.web.context.HttpSessionSecurityContextRepository#0,org.springframework.security.web.authentication.session.SessionFixationProtectionStrategy#0,org.springframework.security.web.savedrequest.HttpSessionRequestCache#0,org.springframework.security.access.vote.AffirmativeBased#0,org.springframework.security.web.access.intercept.FilterSecurityInterceptor#0,org.springframework.security.web.access.DefaultWebInvocationPrivilegeEvaluator#0,org.springframework.security.authentication.AnonymousAuthenticationProvider#0,org.springframework.security.web.authentication.www.BasicAuthenticationEntryPoint#0,org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter#0,org.springframework.security.userDetailsServiceFactory,org.springframework.security.web.DefaultSecurityFilterChain#7,myLoginUrlAuthenticationEntryPoint,securityFilter,org.springframework.security.authentication.DefaultAuthenticationEventPublisher#0,org.springframework.security.authenticationManager,myAuthenticationProvider,org.springframework.aop.aspectj.AspectJPointcutAdvisor#0,org.springframework.aop.aspectj.AspectJPointcutAdvisor#1,org.springframework.aop.aspectj.AspectJPointcutAdvisor#2,org.springframework.aop.aspectj.AspectJPointcutAdvisor#3,businessService,securityMetadataSourceAspect,messageSource,org.springframework.web.servlet.view.ContentNegotiatingViewResolver#0,freemarkerConfig,freeMarkerGlobals,cacheManagerFactory,ehCacheCacheManager,workflowStore,workflowFactory,workflowConfiguration,workflowTypeResolver,workflow,dataSource,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,transactionManager,sqlSessionFactory,org.mybatis.spring.mapper.MapperScannerConfigurer#0,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor,demoMapper,authorityMapper,autoNumberMapper,menuMapper,roleMapper,tsysAuthorityMapper,tsysMenuMapper,tsysResourcesMapper,tsysRoleAuthorityMapper,tsysRoleMapper,tsysUserMapper,tsysUserRoleMapper,userMapper,userRoleMapper,dictMapper,orgMapper,notifyContentMapper,notifyScopeMapper,fileMapper,logModuleCodeMapper,logSysMapper,logUserMapper,formInfoMapper,formSqlMapper,formWidgetMapper,gridButtonMapper,gridFieldMapper,gridPanelMapper,gridQueryMapper,OSActionFormMapper]; root of factory hierarchy
2015-11-04 15:50:47,929 [localhost-startStop-1] INFO  annotation.RequestMappingHandlerMapping  - Mapped "{[/demo/list],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.cemobile.framework.base.common.AjaxData com.cemobile.demo.web.controller.DemoController.query(com.cemobile.demo.entities.Demo,org.springframework.validation.BindingResult,com.cemobile.framework.common.page.Page)
2015-11-04 15:50:47,930 [localhost-startStop-1] INFO  annotation.RequestMappingHandlerMapping  - Mapped "{[/demo/toUpdate],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.cemobile.demo.web.controller.DemoController.updateDemo(java.lang.Long,org.springframework.ui.Model)
